NIL,IdNIL,JJI,Media01,IMG,AMPI,Nil,Residenti,N_fermate_metro,Corse_metro_settimana,N_fermate_tram,Corse_tram_settimana,N_fermate_bus,Corse_bus_settimana,N_fermate_filobus,Corse_filobus_settimana,Posti_auto_GuidaMi,Stalli_BikeMi,N_colonnine_elettriche,Numero_stalli_bike
Duomo,1,125.02,0.1,107.238,104.926163137173,Duomo,16889,6,3641,33,1376.15151515152,0,0,0,0,37,777,7,1874
Brera,2,268.016,0.063,104.181,101.881011455312,Brera,18501,4,3625.5,22,1222.54545454545,12,821.916666666667,0,0,24,294,5,689
Giardini Porta Venezia,3,105.242,0.097,105.004,106.566507054908,Giardini Porta Venezia,39,0,0,1,1600,0,0,0,0,0,153,1,60
Guastalla,4,93.435,0.073,104.979,102.657762217016,Guastalla,15176,3,3836,9,1235.11111111111,0,0,0,0,25,300,4,1265
Vigentina,5,174.066,0.055,103.4,101.244270842403,Vigentina,13716,0,0,4,1063,2,458,5,1268.2,12,264,2,139
Ticinese,6,91.215,0.03,100.896,99.5477678160203,Ticinese,19747,0,0,15,1057.33333333333,2,458,4,1269.5,7,315,0,298
Magenta - S. Vittore,7,219.013,0.069,104.712,102.300485518889,Magenta - S. Vittore,17874,5,3856.4,11,1215.72727272727,8,611,0,0,23,243,4,213
Parco Sempione,8,1509.753,0.5,138.064,136.223163517483,Parco Sempione,2,0,0,2,2753,2,789,0,0,0,138,0,63
Garibaldi Repubblica,9,529.263,0.162,111.964,110.370179594851,Garibaldi Repubblica,5726,2,5510,10,815.2,4,732,0,0,19,264,3,685
Centrale,10,740.508,0.075,105.538,102.366882916564,Centrale,19335,3,4404,21,1076.57142857143,23,589.913043478261,6,1594.5,16,357,1,566
Isola,11,501.759,0.057,103.687,101.167497437657,Isola,23132,2,5328,15,976.466666666667,10,293.6,7,1428.85714285714,12,327,2,262
Maciachini - Maggiolina,12,249.214,0.038,101.711,100.080199453296,Maciachini - Maggiolina,26175,3,3552,14,1049.28571428571,20,390.55,3,1981,3,243,0,208
Greco,13,18.422,0,97.875,97.7645040022105,Greco,15862,0,0,3,743.666666666667,27,589.259259259259,0,0,0,90,0,64
Niguarda - Cà Granda,14,116.804,0.019,99.915,98.8862749111383,Niguarda - Cà Granda,36896,3,3800,30,959.4,66,599.969696969697,0,0,10,120,1,265
Bicocca,15,283.333,0.038,101.59,100.139522089334,Bicocca,8677,1,3800,14,891.428571428571,26,415.884615384615,0,0,2,174,1,497
Vle Monza,16,79.826,0.023,100.268,99.1114402350218,Vle Monza,29529,3,4226,8,877.5,44,584.159090909091,0,0,8,0,1,183
Adriano,17,10.953,0,97.874,97.7637987982091,Adriano,17508,0,0,1,780,32,658.1875,0,0,0,0,0,41
Parco Lambro - Cimiano,18,21.797,0.029,100.802,99.5834877774139,Parco Lambro - Cimiano,19703,4,3492.5,0,0,48,534.791666666667,0,0,2,0,0,221
